Line 1,,
,Line 2,
year,month,mean_air_temperature
1998,1,-5.2
1998,2,-0.9
1998,3,0.7
1998,4,11.2
1998,5,20.4
1998,6,21.6
1998,7,24.3
1998,8,23.9
1998,9,18.6
1998,10,11.4
1998,11,3.3
1998,12,-1.6
1999,1,-7.2
1999,2,-2.6
1999,3,1.7
1999,4,8.5
1999,5,21.6
1999,6,24.4
1999,7,24.6
1999,8,23.3
1999,9,21.2
1999,10,9.9
1999,11,5.8
1999,12,-2.4
2000,1,-8
2000,2,-999
2000,3,3.9
2000,4,8
2000,5,16.2
2000,6,21.1
2000,7,24
2000,8,23.6
2000,9,17
2000,10,11.3
2000,11,3.9
2000,12,-6.7
2001,1,-6.9
2001,2,-5.4
2001,3,-0.5
2001,4,8.7
2001,5,20.2
2001,6,23.2
2001,7,23
2001,8,24.8
2001,9,19
2001,10,11.8
2001,11,5.5
2001,12,0.4
2002,1,-4.3
2002,2,-4.1
2002,3,-0.5
2002,4,8.2
2002,5,14.8
2002,6,20.5
2002,7,25.4
2002,8,-999
2002,9,21.9
2002,10,8.6
2002,11,1
2002,12,-3.6
2003,1,-10.7
2003,2,-8
2003,3,-0.9
2003,4,6
2003,5,15.8
2003,6,23.5
2003,7,23.7
2003,8,22.8
2003,9,20.9
2003,10,10.6
2003,11,4.3
2003,12,-2.7
2004,1,-12.6
2004,2,-3.9
2004,3,1.3
2004,4,-999
2004,5,16.1
2004,6,21
2004,7,24.4
2004,8,23.1
2004,9,19.5
2004,10,12.9
2004,11,3.1
2004,12,-5.1
2005,1,-8.9
2005,2,-3.3
2005,3,-0.3
2005,4,9.4
2005,5,14.9
2005,6,23.6
2005,7,26.7
2005,8,25.4
2005,9,20.2
2005,10,12.2
2005,11,3.5
2005,12,-4.5
2006,1,-3.2
2006,2,-5.9
2006,3,1.9
2006,4,10.3
2006,5,17.3
2006,6,23.1
2006,7,26.3
2006,8,23
2006,9,18.2
2006,10,10.3
2006,11,6.2
2006,12,-0.9
2007,1,-5.8
2007,2,-7.8
2007,3,-0.5
2007,4,7.4
2007,5,18.3
2007,6,22.8
2007,7,24.5
2007,8,23.1
2007,9,20.2
2007,10,14.1
2007,11,3.1
2007,12,-5.1
2008,1,-4.9
2008,2,-5.4
2008,3,-1.3
2008,4,9.2
2008,5,16
2008,6,21.3
2008,7,24.3
2008,8,22.8
2008,9,19.2
2008,10,11.5
2008,11,4
2008,12,-4.1
2009,1,-10.6
2009,2,-4
2009,3,0.8
2009,4,11.1
2009,5,16.2
2009,6,21.5
2009,7,22
2009,8,24.6
2009,9,19.4
2009,10,8.6
2009,11,7.1
2009,12,-3.9
2010,1,-3.9
2010,2,-2.3
2010,3,4.7
2010,4,13
2010,5,20.4
2010,6,22.3
2010,7,27.1
2010,8,24.8
2010,9,17.5
2010,10,11.2
2010,11,4.1
2010,12,-3.2
2011,1,-6.7
2011,2,-5
2011,3,0.3
2011,4,7.8
2011,5,15
2011,6,22.5
2011,7,26.6
2011,8,23.3
2011,9,20.3
2011,10,12.2
2011,11,7.1
2011,12,-1.2
2012,1,-5.5
2012,2,-3
2012,3,4.1
2012,4,10.2
2012,5,19
2012,6,23.1
2012,7,26.3
2012,8,25.4
2012,9,20.1
2012,10,12.3
2012,11,4.2
2012,12,-2.1
2013,1,-5.9
2013,2,-4.5
2013,3,2.1
2013,4,9
2013,5,18.4
2013,6,20
2013,7,26
2013,8,23.4
2013,9,18.2
2013,10,12.9
2013,11,3.1
2013,12,-7
2014,1,-7.4
2014,2,-6.1
2014,3,-3.6
2014,4,7.2
2014,5,17.6
2014,6,23.5
2014,7,24.9
2014,8,24.4
2014,9,19
2014,10,12.8
2014,11,3
2014,12,-2
2015,1,-8.2
2015,2,-11.1
2015,3,-1.5
2015,4,8.5
2015,5,20.3
2015,6,20.7
2015,7,24.5
2015,8,24.3
2015,9,22.3
2015,10,10.4
2015,11,6.2
2015,12,1.5
2016,1,-3.8
2016,2,-3.4
2016,3,1.4
